Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-03,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-06,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-07,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-08,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-09,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-10,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-13,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-14,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-15,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-16,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-17,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-21,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-22,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-23,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-24,11.060000,11.060000,11.060000,11.060000,10.257040,0
2020-01-27,9.970000,9.970000,9.970000,9.970000,9.246174,550
2020-01-28,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-01-29,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-01-30,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-01-31,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-03,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-04,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-05,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-06,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-07,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-10,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-11,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-12,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-13,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-14,9.970000,9.970000,9.970000,9.970000,9.246174,0
2020-02-18,10.200000,10.200000,10.200000,10.200000,9.459476,2374
2020-02-19,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-02-20,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-02-21,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-02-24,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-02-25,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-02-26,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-02-27,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-02-28,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-02,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-03,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-04,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-05,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-06,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-09,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-10,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-11,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-12,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-13,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-16,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-17,10.200000,10.200000,10.200000,10.200000,9.459476,0
2020-03-18,10.200000,10.200000,10.200000,10.200000,9.702640,0
2020-03-19,10.200000,10.200000,10.200000,10.200000,9.702640,0
2020-03-20,10.200000,10.200000,10.200000,10.200000,9.702640,0
2020-03-23,10.200000,10.200000,10.200000,10.200000,9.702640,0
2020-03-24,6.360000,6.360000,6.360000,6.360000,6.049881,200
2020-03-25,6.160000,6.160000,5.790000,5.900000,5.612311,1611
2020-03-26,5.900000,5.900000,5.900000,5.900000,5.612311,0
2020-03-27,6.100000,6.580000,6.100000,6.580000,6.259154,13100
2020-03-30,6.580000,6.580000,6.580000,6.580000,6.259154,0
2020-03-31,7.760000,7.760000,7.760000,7.760000,7.381616,994
2020-04-01,7.760000,7.760000,7.760000,7.760000,7.381616,0
2020-04-02,7.760000,7.760000,7.760000,7.760000,7.381616,0
2020-04-03,7.760000,7.760000,7.760000,7.760000,7.381616,0
2020-04-06,7.760000,7.760000,7.760000,7.760000,7.381616,0
2020-04-07,7.760000,7.760000,7.760000,7.760000,7.381616,0
2020-04-08,7.760000,7.760000,7.760000,7.760000,7.381616,0
2020-04-09,7.760000,7.760000,7.760000,7.760000,7.381616,0
